last_name, first_name,year,p_formatted_ip,p_total_hits,p_strikeout,p_walk,p_k_percent,p_bb_percent,batting_avg,slg_percent,on_base_percent,isolated_power,p_earned_run,p_run,p_balk,
Gonzalez, Miguel,2013,171.1,157,120,53,16.9,7.4,.243,.413,.299,.170,72,81,0,
Price, David,2013,186.2,178,151,27,20.4,3.6,.252,.379,.281,.127,69,78,0,
Lincecum, Tim,2013,197.2,184,193,76,22.9,9.0,.248,.389,.317,.141,96,102,2,
Scherzer, Max,2013,214.1,152,240,56,28.7,6.7,.198,.329,.254,.131,69,73,1,
Kennedy, Ian,2013,181.1,180,163,73,20.5,9.2,.259,.444,.334,.185,99,108,1,
Kendrick, Kyle,2013,182.0,207,110,47,13.8,5.9,.285,.420,.326,.135,95,104,1,
Lester, Jon,2013,213.1,209,177,67,19.6,7.4,.253,.389,.313,.136,89,94,0,
Gallardo, Yovani,2013,180.2,180,144,66,18.6,8.5,.261,.395,.322,.134,84,92,0,
Fister, Doug,2013,208.2,229,159,44,18.0,5.0,.281,.381,.328,.100,85,91,0,
Medlen, Kris,2013,197.0,194,157,47,19.1,5.7,.258,.398,.304,.140,68,77,0,
Wilson, C.J.,2013,212.1,200,188,85,20.6,9.3,.246,.361,.321,.115,80,93,2,
Volquez, Edinson,2013,170.1,193,142,77,18.3,9.9,.282,.449,.351,.167,108,114,0,
Shields, James,2013,228.2,215,196,68,20.7,7.2,.251,.369,.308,.118,80,82,2,
Stults, Eric,2013,203.2,219,131,40,15.3,4.7,.274,.421,.305,.147,89,97,1,
Nolasco, Ricky,2013,199.1,195,165,46,19.8,5.5,.255,.388,.301,.133,82,90,0,
Feldman, Scott,2013,181.2,159,132,56,17.4,7.4,.234,.373,.296,.139,78,87,1,
Sanchez, Anibal,2013,182.0,156,202,54,27.1,7.2,.229,.330,.284,.101,52,56,0,
Jimenez, Ubaldo,2013,182.2,163,194,80,25.0,10.3,.239,.367,.317,.128,67,75,0,
Saunders, Joe,2013,183.0,232,107,61,13.0,7.4,.311,.507,.362,.196,107,117,0,
Verlander, Justin,2013,218.1,212,217,75,23.5,8.1,.253,.376,.315,.123,84,94,1,
Hernandez, Felix,2013,204.1,185,216,46,26.3,5.6,.242,.358,.285,.116,69,74,0,
Hamels, Cole,2013,220.0,205,202,50,22.3,5.5,.246,.404,.292,.158,88,94,0,
Cain, Matt,2013,184.1,158,158,55,20.8,7.2,.228,.389,.287,.161,82,85,0,
Correia, Kevin,2013,185.1,218,101,45,12.8,5.7,.297,.462,.335,.165,86,89,0,
Santana, Ervin,2013,211.0,190,161,51,18.7,5.9,.238,.380,.288,.142,76,85,0,
Jackson, Edwin,2013,175.1,197,135,59,17.4,7.6,.281,.436,.336,.155,97,110,0,
Haren, Dan,2013,169.2,179,151,31,21.1,4.3,.268,.454,.303,.186,88,92,1,
Greinke, Zack,2013,177.2,152,148,46,20.6,6.4,.234,.355,.286,.121,52,54,0,
Wainwright, Adam,2013,241.2,223,219,35,22.9,3.7,.248,.356,.276,.108,79,83,0,
Williams, Jerome,2013,169.1,181,107,55,14.7,7.6,.272,.442,.330,.170,86,93,0,
Guthrie, Jeremy,2013,211.2,236,111,59,12.3,6.5,.285,.448,.335,.163,95,99,0,
Lee, Cliff,2013,222.2,193,222,32,25.3,3.7,.232,.368,.261,.136,71,77,0,
De La Rosa, Jorge,2013,167.2,170,112,62,15.7,8.7,.269,.384,.332,.115,65,70,0,
Lackey, John,2013,189.1,179,161,40,20.7,5.1,.247,.413,.289,.166,74,80,0,
Lohse, Kyle,2013,198.2,196,125,36,15.5,4.5,.259,.406,.292,.147,74,78,0,
Dickey, R.A.,2013,224.2,207,177,71,18.8,7.5,.242,.422,.305,.180,105,113,1,
Sabathia, CC,2013,211.0,224,175,65,19.3,7.2,.272,.445,.323,.173,112,122,1,
Buehrle, Mark,2013,203.2,223,139,51,15.9,5.8,.276,.430,.323,.154,94,100,0,
Arroyo, Bronson,2013,202.0,199,124,34,15.1,4.1,.258,.442,.292,.184,85,88,2,
